SMILES,Energygap
CC(=O)CCO,217.1463519
COC(=O)CBr,236.4943369
OC(=O)[C@@H](Cc1ccccc1)NC(=O)OC[C@@H]1c2ccccc2c2ccccc12,161.9161473
OC(=O)c1ccc(cc1)c1ccccc1,159.8346999
Fc1ccc2oc(=O)[nH]c2c1,177.8109502
COC(=O)c1ccccc1C,180.027312
C[C@@H](Cl)C(=O)Cl,217.6081985
CC(=O)OC[C@H]1OC=C[C@H](OC(=O)C)[C@@H]1OC(=O)C,210.1345663
Clc1c[nH]nc1,213.8011014
ClCCC(=O)c1ccccc1,179.8622772
CCN(CC)c1ccc(C=O)c(O)c1,152.3905607
CC(C)N,228.7678186
CCOC(=O)Cc1ccc(O)cc1,184.5334542
CCCCOC(=O)c1ccccc1,187.1300864
Nc1cccc2C(=O)c3c(N)cccc3C(=O)c12,121.7323534
CCOC(=O)Cl,258.8669153
CCCCCC(=O)OC(=O)CCCCC,234.7015437
OC(=O)CCCCC(=O)O,253.7558545
CC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O,181.8721885
COc1cccc(C=O)c1O,153.2038123
CC(C)(C)I,188.0506421
S[C@@](c1ccccc1)(c1ccccc1)c1ccccc1,179.4537688
[S][P@]12S[P@]3([S])S[P@]([S])(S1)S[P@]([S])(S2)S3,151.8465103
N[C@@H](CCC(=O)O)C(=O)O,229.9230627
ClC[C@H]1CO1,262.7267231
Cc1cccc(C)c1N=C=O,181.0890573
Fc1c(F)c(F)c(c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,177.342201
O=CC1CCOCC1,207.2436324
CC(C)CCC#C,241.7898854
NCCc1ccccn1,190.2262158
CC(C)[C@@H](CC=C)C(=O)NC(=O)N,215.5060434
CC1(C)[C@H]2CC[C@]1(C)C(=O)C2,207.0547522
FC(F)(F)c1ccc(C=O)c(Br)c1,165.3624267
CO[C@@H](C(=O)O)c1ccccc1,200.0517517
O=C1CCCCO1,236.8796274
OC(=O)C1CCOCC1,225.6327836
c1ccc(cc1)c1cccc(n1)c1ccccc1,157.7061894
Nc1ccc(N)cc1,159.7882643
O=C1NC(=O)c2ccccc12,176.9437328
OC(=O)CN(CC(=O)O)CC(=O)O,207.2844205
CCOC(=O)c1cccc(Cl)c1,175.978624
CCCCCCCCl,258.32161
O=C/C=C/c1ccccc1,155.0537088
Fc1ccc(cc1)C(=O)CCCCl,178.9988248
Cc1cc(Cl)n(n1)c1ccccc1,179.1055013
c1cnccn1,186.4329239
Br/C(=C/c1ccccc1)/C=O,154.6056674
O=N(=O)c1sccc1,166.7956573
Nc1ccc(Br)cn1,167.0297181
CC(=O)c1ccccc1,181.5647091
OCCCCC#C,243.0631011
Oc1cccc2cnccc12,154.5642518
CCOC1=CC(=O)CCC1,191.7491801
OC(=O)c1cccc(I)c1,169.6840812
BrC1CC1,224.2886593
OC(=O)c1ccc(Cl)cc1,177.3340434
CC(=O)/C=C/c1ccccc1,153.5652575
O=N(=O)c1ccccc1CC#N,176.8232511
CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc23)CC1,166.9450044
OC(=O)c1[nH]cnc1,187.0980834
Fc1ccc(cc1Cl)C#N,181.3927716
NCc1cccc(CN)c1,193.9655419
CC(C)(C)CC(=O)O,237.8786218
Cc1cc(C)cc(I)c1,181.7862198
CCOP(C)OCC,210.3654897
ClC(=O)Cl,233.9623381
Nc1cccc(c1)C#C,162.6955134
C[C@@]12CCC(=O)[CH][C]1CC[C@@H]1[C@H]2CC[C@@]2(C)[C@@H]1CC[C@@]2(O)C#C,158.4290798
Oc1ccc(cc1)C(F)(F)F,189.7116584
CC/C=C\CO,216.3481605
CCn1c(Cl)cnc1C,200.4935181
C[C@@H](O)[C@@H](N)C(=O)O,231.2220063
OC(=O)C1(CCCC1)c1ccc(Cl)cc1,185.6661079
O[C@H]([C@H]1C[C@@H]2CCN1C[C@@H]2C=C)c1ccnc2ccccc12,153.0720354
CCOC(=O)[C@H]1CCCCC1=O,208.5293983
C[C@@H](Br)Cc1ccccc1,195.5838876
CN(C)CCN,211.855196
CCCCCC(=O)O,247.7662811
Ic1ccc2[nH]ccc2c1,167.7105654
Oc1cccnc1Br,180.649801
CCOC(=O)C=C,209.1274144
OC(=O)c1ccc(F)cc1Cl,187.1420091
OC(=O)c1cc2ccccc2oc1=O,149.1639094
BrP(Br)Br,178.5664711
NCCCCCCN,229.4273305
CCOC(=O)CC(=O)C(F)(F)F,215.3730115
Clc1cccc(Cl)c1Cl,189.8082948
Cc1cc(C)c2CCCC(=O)c2c1,168.7490928
CCO/C(=N/O)/C,225.7570304
O=C1CCCC=C1,188.2978806
CC(C)(C)[C@H]1CC[C@H](O)CC1,236.816249
OC(C(F)(F)F)(C(F)(F)F)C(F)(F)F,294.8758917
c1ccc(cc1)[CH][N][N][CH]c1ccccc1,142.8474038
Fc1cccc2ccccc12,157.5963753
O=N(=O)c1ccc2C(=O)NS(=O)(=O)c2c1,174.2071661
C1CCC(CC1)[N][C][N]C1CCCCC1,218.6097029
CCOC(=O)NN,248.7025245
CC1(CO)COC1,232.9664813
Cc1cc(C)c(c(C)c1)S(=O)(=O)Cl,173.0287042
Nc1ccc(cc1)c1ccccc1,158.1040301
C1CC[C@@H]2CCCC[C@H]2C1,251.1447895
ClCCCC#C,244.3614172
C=CN1CCCC1=O,190.8348995
NC(=S)c1ccccc1,147.5763116
Cc1ccccc1C=O,172.4915564
CCOC(=O)c1c(C)[nH]cc1C,183.5501476
CC(C)N(C=O)C(C)C,221.4366309
OC(=O)[C@H]1CCCO1,235.0880892
CN(C)Cc1ccccc1,189.0389688
Cl[C@H]1CCCCC1=O,203.4785784
O=N(=O)c1ccc(Cl)nc1,170.8518754
C1CC1c1ccccc1,198.2821763
CCc1sccc1,187.5009442
OC(=O)c1[nH]ccc1,183.5300673
CC(=O)N[C@H]1[C@@H](O)O[C@H](CO)[C@H](O)[C@@H]1O,222.8886868
FN(S(=O)(=O)c1ccccc1)S(=O)(=O)c1ccccc1,182.1809229
CC(C)CCC[C@@H](C)CCO,252.0396174
Clc1ccnc2ccccc12,158.688241
OC[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2,238.9409945
OC(=O)c1cccnc1Br,172.0303373
Fc1ccccc1I,183.5419899
Nc1ccc(I)cc1,167.1087842
Ic1c[nH]nc1,185.5901793
COC(=O)C(C)(C)C,251.4660741
NCC(F)(F)F,241.695759
OC(=O)c1ccc(cc1)C(F)(F)F,184.7951254
